Seed,BatchIndex,NumTrials,CumulativeEstimate
1,1,1000000,0.142243
1,2,2000000,0.142107
1,3,3000000,0.141975
1,4,4000000,0.142035
1,5,5000000,0.142085
1,6,6000000,0.142046
1,7,7000000,0.142030
1,8,8000000,0.142011
1,9,9000000,0.141876
1,10,10000000,0.141911
1,11,11000000,0.141940
1,12,12000000,0.141967
1,13,13000000,0.141970
1,14,14000000,0.141969
1,15,15000000,0.141956
1,16,16000000,0.141951
1,17,17000000,0.141976
1,18,18000000,0.141999
1,19,19000000,0.141992
1,20,20000000,0.142017
42,1,1000000,0.141680
42,2,2000000,0.141716
42,3,3000000,0.141961
42,4,4000000,0.142110
42,5,5000000,0.142097
42,6,6000000,0.142108
42,7,7000000,0.142104
42,8,8000000,0.142054
42,9,9000000,0.142036
42,10,10000000,0.141996
42,11,11000000,0.142014
42,12,12000000,0.142013
42,13,13000000,0.141991
42,14,14000000,0.142011
42,15,15000000,0.142003
42,16,16000000,0.142060
42,17,17000000,0.142053
42,18,18000000,0.142043
42,19,19000000,0.142060
42,20,20000000,0.142071
2023,1,1000000,0.142085
2023,2,2000000,0.141964
2023,3,3000000,0.141670
2023,4,4000000,0.141808
2023,5,5000000,0.141840
2023,6,6000000,0.141865
2023,7,7000000,0.141894
2023,8,8000000,0.141922
2023,9,9000000,0.141915
2023,10,10000000,0.141938
2023,11,11000000,0.141934
2023,12,12000000,0.141965
2023,13,13000000,0.141923
2023,14,14000000,0.141938
2023,15,15000000,0.141947
2023,16,16000000,0.141928
2023,17,17000000,0.141957
2023,18,18000000,0.141919
2023,19,19000000,0.141934
2023,20,20000000,0.141956
40599,1,1000000,0.141948
40599,2,2000000,0.142206
40599,3,3000000,0.142080
40599,4,4000000,0.142058
40599,5,5000000,0.142147
40599,6,6000000,0.142151
40599,7,7000000,0.142102
40599,8,8000000,0.142177
40599,9,9000000,0.142115
40599,10,10000000,0.142104
40599,11,11000000,0.142072
40599,12,12000000,0.141976
40599,13,13000000,0.141933
40599,14,14000000,0.141953
40599,15,15000000,0.141917
40599,16,16000000,0.141943
40599,17,17000000,0.141923
40599,18,18000000,0.141967
40599,19,19000000,0.141952
40599,20,20000000,0.141933
99999,1,1000000,0.142614
99999,2,2000000,0.142348
99999,3,3000000,0.142119
99999,4,4000000,0.142171
99999,5,5000000,0.142193
99999,6,6000000,0.142231
99999,7,7000000,0.142220
99999,8,8000000,0.142213
99999,9,9000000,0.142236
99999,10,10000000,0.142139
99999,11,11000000,0.142075
99999,12,12000000,0.142145
99999,13,13000000,0.142126
99999,14,14000000,0.142151
99999,15,15000000,0.142182
99999,16,16000000,0.142161
99999,17,17000000,0.142137
99999,18,18000000,0.142116
99999,19,19000000,0.142091
99999,20,20000000,0.142092
