episode,timestep,reward,length,loss,q_mean,epsilon
0,1000,-1716.0,1001,,,
1,2001,-1791.0,1001,,,
2,3002,-2371.0,1001,,,
3,4003,-1496.0,1001,,,
4,5004,-1971.0,1001,,,
5,6005,-1891.0,1001,,,
6,7006,-1916.0,1001,,,
7,8007,-1781.0,1001,,,
8,9008,-1766.0,1001,,,
9,10009,-2031.0,1001,3.3958888053894043,-0.666015625,0.9996435999999997
10,11010,-2081.0,1001,2.3734054565429688,-4.421875,0.9798237999999855
11,12011,-1756.0,1001,1.5286047458648682,-10.15625,0.9600039999999712
12,13012,-2011.0,1001,0.9383292198181152,-8.609375,0.940184199999957
13,14013,-1361.0,1001,1.3250421285629272,-12.8828125,0.9203643999999427
14,14920,-1332.0,907,0.9091768860816956,-12.0,0.9024057999999298
15,15921,-1821.0,1001,1.2818069458007812,-12.3046875,0.8825859999999155
16,16922,-1561.0,1001,1.2211151123046875,-15.546875,0.8627661999999012
17,17923,-1256.0,1001,1.1655018329620361,-15.3828125,0.842946399999887
18,18924,-1321.0,1001,1.090372920036316,-18.484375,0.8231265999998727
19,19925,-1301.0,1001,1.1427562236785889,-18.1875,0.8033067999998584
20,20926,-1271.0,1001,1.8298287391662598,-20.796875,0.7834869999998442
21,21927,-2001.0,1001,0.8885524272918701,-21.09375,0.7636671999998299
22,22928,-1171.0,1001,0.6258646249771118,-23.46875,0.7438473999998156
23,23929,-1301.0,1001,0.8300209045410156,-23.5625,0.7240275999998014
24,24904,-1965.0,975,0.6453287601470947,-26.265625,0.7047225999997875
25,25905,-1066.0,1001,0.8165624141693115,-25.8125,0.6849027999997732
26,26906,-1091.0,1001,1.068663477897644,-28.375,0.665082999999759
27,27907,-1081.0,1001,0.8031686544418335,-29.015625,0.6452631999997447
28,28908,-1096.0,1001,0.7213943004608154,-31.125,0.6254433999997304
29,29909,-1076.0,1001,1.1800271272659302,-30.71875,0.6056235999997162
30,30910,-1021.0,1001,0.9928109645843506,-32.78125,0.5858037999997019
31,31911,-1021.0,1001,0.3011535704135895,-33.25,0.5659839999996876
32,32912,-1001.0,1001,1.1200084686279297,-34.46875,0.5461641999996734
33,33913,-1091.0,1001,0.6397521495819092,-35.3125,0.5263443999996591
34,34914,-1036.0,1001,0.25409066677093506,-37.0625,0.5065245999996448
35,35915,-1011.0,1001,0.2755197286605835,-37.3125,0.48670479999963057
36,36916,-1041.0,1001,0.8744634389877319,-39.25,0.4668849999996163
37,37917,-1011.0,1001,0.24434584379196167,-39.1875,0.44706519999960204
38,38918,-1081.0,1001,0.22515574097633362,-41.03125,0.42724539999958777
39,39919,-1001.0,1001,0.6307129859924316,-41.1875,0.4074255999995735
40,40920,-1001.0,1001,0.7163311839103699,-42.125,0.38760579999955924
41,41921,-1021.0,1001,0.5013673305511475,-42.59375,0.367785999999545
42,42922,-1021.0,1001,0.7145897746086121,-43.9375,0.3479661999995307
43,43923,-1021.0,1001,0.6566176414489746,-44.125,0.32814639999951645
44,44924,-1011.0,1001,0.6895069479942322,-46.53125,0.3083265999995022
45,45925,-1001.0,1001,0.19220881164073944,-45.71875,0.2885067999994879
46,46926,-1021.0,1001,0.6494336724281311,-47.28125,0.26868699999947365
47,47927,-1041.0,1001,0.6108611226081848,-47.78125,0.248867199999461
48,48928,-1001.0,1001,0.6635277271270752,-49.15625,0.22904739999947452
49,49929,-1011.0,1001,0.16715934872627258,-48.90625,0.20922759999948803
50,50930,-1021.0,1001,0.1604979932308197,-50.5625,0.18940779999950155
51,51931,-1011.0,1001,0.1519581526517868,-50.65625,0.16958799999951507
