episode,timestep,reward,length,loss,q_mean,epsilon
0,1000,-1716.0,1001,,,
1,2001,-1646.0,1001,,,
2,3002,-2321.0,1001,,,
3,4003,-1921.0,1001,,,
4,5004,-1611.0,1001,4.124028205871582,-0.252685546875,0.9998415999999999
5,6005,-1426.0,1001,1.6522797346115112,-4.171875,0.9800217999999856
6,7006,-1881.0,1001,0.9603811502456665,-9.1015625,0.9602019999999714
7,8007,-1301.0,1001,0.8216928839683533,-8.328125,0.9403821999999571
8,9008,-1511.0,1001,0.6784195303916931,-14.09375,0.9205623999999428
9,10009,-1231.0,1001,0.6306555271148682,-11.875,0.9007425999999286
10,11010,-1346.0,1001,0.7384616732597351,-15.2578125,0.8809227999999143
11,12011,-1236.0,1001,0.7910629510879517,-14.9453125,0.8611029999999
12,13012,-1171.0,1001,0.748008668422699,-16.78125,0.8412831999998858
13,14013,-1206.0,1001,0.6688945293426514,-17.6875,0.8214633999998715
14,15014,-1086.0,1001,0.7986781001091003,-18.984375,0.8016435999998572
15,16015,-1126.0,1001,0.8182294368743896,-20.25,0.781823799999843
16,17016,-1291.0,1001,0.6317949295043945,-23.296875,0.7620039999998287
17,18017,-1296.0,1001,0.6753908395767212,-22.640625,0.7421841999998144
18,19018,-1131.0,1001,0.6232609748840332,-24.8125,0.7223643999998002
19,20019,-1161.0,1001,0.35078197717666626,-24.90625,0.7025445999997859
20,21020,-1181.0,1001,0.34451061487197876,-27.40625,0.6827247999997716
21,22021,-1111.0,1001,0.33714020252227783,-27.0625,0.6629049999997574
22,23022,-1101.0,1001,0.332777202129364,-28.078125,0.6430851999997431
23,24023,-1181.0,1001,0.3208935558795929,-29.0,0.6232653999997289
24,25024,-1101.0,1001,0.3190858066082001,-30.90625,0.6034455999997146
25,26025,-1111.0,1001,0.28261512517929077,-30.8125,0.5836257999997003
26,27026,-1011.0,1001,0.6640605926513672,-33.46875,0.5638059999996861
27,28027,-1046.0,1001,0.27684110403060913,-33.40625,0.5439861999996718
28,29028,-1096.0,1001,0.2741749882698059,-34.375,0.5241663999996575
29,30029,-1011.0,1001,0.26080092787742615,-34.75,0.5043465999996433
30,31030,-1031.0,1001,0.24036632478237152,-36.40625,0.484526799999629
31,32031,-1031.0,1001,0.24155902862548828,-36.4375,0.46470699999961473
32,33032,-1031.0,1001,0.23849806189537048,-38.46875,0.44488719999960047
33,34033,-1101.0,1001,0.22165115177631378,-38.46875,0.4250673999995862
34,35034,-1091.0,1001,0.21497580409049988,-39.8125,0.40524759999957194
35,36035,-1051.0,1001,0.23909571766853333,-40.40625,0.3854277999995577
36,37036,-1031.0,1001,0.21356555819511414,-41.65625,0.3656079999995434
37,38037,-1011.0,1001,0.19888940453529358,-41.96875,0.34578819999952914
38,39038,-1001.0,1001,0.21179571747779846,-43.34375,0.3259683999995149
39,40039,-1001.0,1001,0.2040206491947174,-43.65625,0.3061485999995006
40,41040,-1001.0,1001,0.19251208007335663,-45.25,0.28632879999948635
41,42041,-1001.0,1001,0.18454086780548096,-45.21875,0.2665089999994721
42,43042,-1031.0,1001,0.17501458525657654,-46.46875,0.24668919999946248
43,44043,-1001.0,1001,0.17780540883541107,-46.5625,0.226869399999476
44,45044,-1001.0,1001,0.16812586784362793,-48.125,0.20704959999948952
45,46045,-1001.0,1001,0.16157391667366028,-48.03125,0.18722979999950304
46,47046,-1011.0,1001,0.15170246362686157,-49.28125,0.16740999999951656
47,48047,-1021.0,1001,0.16216924786567688,-49.625,0.14759019999953008
48,49048,-1011.0,1001,0.15647760033607483,-50.65625,0.1277703999995436
49,50049,-1021.0,1001,0.15492524206638336,-51.09375,0.10795059999954515
50,51050,-1001.0,1001,0.1402091234922409,-52.75,0.08813079999954478
51,52051,-1001.0,1001,0.1464301347732544,-52.46875,0.0683109999995444
52,53052,-1001.0,1001,0.13093318045139313,-53.40625,0.04849119999954403
53,54053,-1011.0,1001,0.13520236313343048,-53.96875,0.028671399999543656
54,55054,-1011.0,1001,0.1291399598121643,-54.5,0.01
55,56055,-1001.0,1001,0.12084423005580902,-54.84375,0.01
56,57056,-1001.0,1001,0.12279003113508224,-56.21875,0.01
57,58057,-1001.0,1001,0.12083613872528076,-56.34375,0.01
58,59058,-1001.0,1001,0.11920676380395889,-57.53125,0.01
59,60059,-1001.0,1001,0.11442187428474426,-57.46875,0.01
60,61060,-1001.0,1001,0.1120578795671463,-58.59375,0.01
61,62061,-1001.0,1001,0.10355182737112045,-58.78125,0.01
62,63062,-1001.0,1001,0.09878557920455933,-59.65625,0.01
63,64063,-1001.0,1001,0.09666801989078522,-59.71875,0.01
64,65064,-1001.0,1001,0.09941945970058441,-60.71875,0.01
65,66065,-1001.0,1001,0.09542716294527054,-60.96875,0.01
66,67066,-1001.0,1001,0.09628033638000488,-62.09375,0.01
67,68067,-1001.0,1001,0.09610800445079803,-62.0625,0.01
68,69068,-1001.0,1001,0.08622623234987259,-63.25,0.01
